T,error,integral,derivada,pwm
49.56,0.44,159.7,0.16,1023.0
49.56,0.44,160.05,0.0,1023.0
49.5,0.5,160.45,0.08,1023.0
49.56,0.44,160.8,-0.08,1023.0
49.56,0.44,161.15,0.0,1023.0
49.62,0.38,161.45,-0.08,1007.0
49.69,0.31,161.7,-0.08,983.0
49.81,0.19,161.85,-0.16,921.0
49.94,0.06,161.9,-0.16,872.0
50.06,-0.06,161.85,-0.16,821.0
50.19,-0.19,161.7,-0.16,771.0
50.31,-0.31,161.45,-0.16,720.0
50.44,-0.44,161.1,-0.16,668.0
50.5,-0.5,160.7,-0.08,654.0
50.69,-0.69,160.15,-0.23,553.0
50.81,-0.81,159.5,-0.16,512.0
50.94,-0.94,158.75,-0.16,459.0
51.0,-1.0,157.95,-0.08,443.0
51.12,-1.12,157.05,-0.16,377.0
51.25,-1.25,156.05,-0.16,323.0
51.38,-1.38,153.9,-0.08,276.0
51.5,-1.5,152.7,-0.16,210.0
51.56,-1.56,151.45,-0.08,192.0
51.62,-1.62,150.15,-0.08,161.0
51.62,-1.62,148.85,0.0,168.0
51.56,-1.56,147.6,0.08,200.0
51.5,-1.5,146.4,0.08,220.0
51.5,-1.5,145.2,0.0,203.0
51.5,-1.5,144.0,0.0,199.0
51.44,-1.44,142.85,0.08,231.0
51.44,-1.44,141.7,0.0,214.0
51.31,-1.31,140.65,0.16,284.0
51.25,-1.25,139.65,0.08,293.0
51.19,-1.19,138.7,0.08,314.0
51.12,-1.12,137.8,0.08,335.0
51.06,-1.06,136.95,0.08,357.0
50.94,-0.94,136.2,0.16,416.0
50.81,-0.81,135.55,0.16,463.0
50.69,-0.69,135.0,0.16,511.0
50.56,-0.56,134.55,0.16,559.0
50.5,-0.5,134.15,0.08,571.0
50.38,-0.38,133.85,0.16,631.0
50.31,-0.31,133.6,0.08,644.0
50.25,-0.25,133.4,0.08,668.0
50.19,-0.19,133.25,0.08,692.0
50.12,-0.12,133.15,0.08,717.0
50.06,-0.06,133.1,0.08,742.0
50.0,0.0,133.1,0.08,767.0
50.0,0.0,133.1,0.0,755.0
49.94,0.06,133.15,0.08,792.0
49.94,0.06,133.2,0.0,780.0
49.88,0.12,133.3,0.08,817.0
49.75,0.25,133.5,0.16,880.0
49.62,0.38,133.8,0.16,931.0
49.5,0.5,134.2,0.16,983.0
49.5,0.5,134.6,0.0,961.0
49.5,0.5,135.0,0.0,963.0
49.56,0.44,135.35,-0.08,927.0
49.62,0.38,135.65,-0.08,903.0
49.69,0.31,135.9,-0.08,879.0
49.81,0.19,136.05,-0.16,818.0
49.88,0.12,136.15,-0.08,805.0
49.94,0.06,136.2,-0.08,781.0
50.06,-0.06,136.15,-0.16,719.0
50.12,-0.12,136.05,-0.08,705.0
50.19,-0.19,135.9,-0.08,679.0
50.25,-0.25,135.7,-0.08,654.0
50.19,-0.19,135.55,0.08,701.0
50.19,-0.19,135.4,0.0,689.0
50.19,-0.19,135.25,0.0,689.0
50.25,-0.25,135.05,-0.08,651.0
50.38,-0.38,134.75,-0.16,588.0
50.5,-0.5,134.35,-0.16,536.0
50.62,-0.62,133.85,-0.16,484.0
50.69,-0.69,133.3,-0.08,469.0
50.94,-0.94,131.9,-0.16,352.0
50.94,-0.94,131.15,0.0,372.0
51.0,-1.0,130.35,-0.08,332.0
51.0,-1.0,129.55,0.0,341.0
51.0,-1.0,128.75,0.0,337.0
51.0,-1.0,127.95,0.0,334.0
50.94,-0.94,127.2,0.08,368.0
50.88,-0.88,126.5,0.08,390.0
50.88,-0.88,125.8,0.0,376.0
50.88,-0.88,125.1,0.0,373.0
50.88,-0.88,124.4,0.0,370.0
50.88,-0.88,123.7,0.0,367.0
50.88,-0.88,123.0,0.0,365.0
50.88,-0.88,122.3,0.0,362.0
50.81,-0.81,121.65,0.08,396.0
50.75,-0.75,121.05,0.08,418.0
50.62,-0.62,120.55,0.16,478.0
50.5,-0.5,120.15,0.16,527.0
50.31,-0.31,119.9,0.23,612.0
50.19,-0.19,119.75,0.16,650.0
50.06,-0.06,119.7,0.16,700.0
